name,url,specialties
SENNS.Restaurant,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/senns-restaurant,"['Jakobsmuschel, Tomate, Yuzu, Olivenöl', 'Rehrücken, Gelbe Rübe, Sanddorn, Spitzkraut', 'Topinambur, Mohn, Brombeere']"
Ikarus,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus,"['Muscheln, Tomate, Artischocke', 'Steinbarsch, Zwiebel, Speck, Oregano', 'Eingelegte Erdbeeren, Milcheis, Feigenblatt-Öl']"
Mraz & Sohn,https://guide.michelin.com/at/en/vienna/wien/restaurant/mraz-sohn,"['Jakobsmuschel mit Marinade', 'Gedämpfter Chinakohl', 'Karotte und Joghurt']"
Konstantin Filippou,https://guide.michelin.com/at/en/vienna/wien/restaurant/konstantin-filippou,"['Lachsforelle, Shiso, Safran, Kohlrabi', 'Kroatischer Langostino, Kalbszunge, Cochayuyo, Zitrus', 'Kirsche, Apfel, Ingwer, Schokolade']"
Silvio Nickol Gourmet Restaurant,https://guide.michelin.com/at/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant,"['Entenleber, Pilze, Schokolade, Fichtenwipfel', 'Nuart Lamm, Kirsche, Ingwer, Petersilie', 'Quitte, Alpenmilch, Verbene, Schotten']"
Steirereck im Stadtpark,https://guide.michelin.com/at/en/vienna/wien/restaurant/steirereck-im-stadtpark,"['Saibling im Bienenwachs mit gelber Rübe, Pollen und Rahm', 'Waller mit Schönbrunner Calamansi, Mispeln und Kamut', 'Götterfrucht mit Haselnüssen, Herbsttrompeten und Salzkaramell']"
Baumé,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,"['Artichoke and truffle soup', 'Le Jaune d’oeuf fume with cauliflower and buckwheat', 'Pear with chocolate macaron']"
Commis,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,"['Carrot tartare with young coconut and mint', 'Slow poached egg yolk, over a malt infused custard, served with whole grain sourdough', 'Strawberries with pistachio crumble and raw milk ice cream']"
Californios,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,"['Ceviche, cured Japanese buri with pomegranate and pear granita', 'Street Taco, short rib with mole negro, shaved truffle, and fermented spring onion', 'Camote Enmielado, sweet potato with sesame and pompona vanilla']"
Lazy Bear,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,"['Grilled lamb, carrot, spring herbs and flowers', 'Ham and barley broth, charred onion, fudgy yolk', 'Raspberry, chiles, nuts and seeds']"
Saison,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,"['Dungeness crab with black cardamom and grapefruit', 'Venison with honey nut squash and chanterelles', 'Dandelion chocolate with cacao mousse and cocao nib']"
Campton Place,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,"['Day Boat scallop dosa', 'Slow-cooked lamb with spiced yogurt, cashew basmati pilaf, and market brassicas', 'Dark chocolate mousse with meringue, candied hazelnut, and citrus ice cream']"
Coi,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,"['New potatoes and celtuce with comte, truffle, and tarragon', 'Smoked black cod wrapped in scallop mousse with herb puree', 'Silken white chocolate with kiwi and coffee']"
Acquerello,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,"['Swiss chard and mushroom raviolo with brown butter, Parmesan and Balsamic vinegar', 'Dry-aged squab breast with sour cherry, fennel, smoked honey and elderflower', 'Gianduja mousse with dark chocolate, cocoa nib and champagne']"
Urasawa,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa,
Sushi Ginza Onodera,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850,"['Chawanmushi egg custard with Italian caviar, uni, and fresh wasabi', 'Anago sea eel two ways with shanso and yuzu zest', 'Coconut pudding with matcha green tea sauce, kuromame and gold flake']"
Somni,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/somni,
Providence,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,"['Uni egg with Champagne beurre blanc, brioche croutons', 'Farfalle with shellfish broth, geoduck, squid and basil', 'Hawaiian chocolate with chocolate gelato']"
